ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,McAvity M67,Rouge,2018-04-13,-73.45723972836979,45.74107901498552,2023-10-17,42
,60013,McAvity M59M,Rouge,2019-03-07,-73.45691030086181,45.74039689562002,2023-10-17,38
,60013,McAvity M59M,Rouge,2019-12-17,-73.4562907961325,45.73973551243983,2023-10-17,38
,60013,McAvity M59M,Noire,2019-03-07,-73.45489005371404,45.7400198282067,2023-10-17,44
,60013,McAvity M59M,Rouge,2019-01-23,-73.45425322749577,45.73942156825546,2023-10-17,40
,60013,McAvity M59M,Noire,2019-12-17,-73.45550386209051,45.738041784438124,2023-10-17,30
,60013,McAvity M67,Rouge,2018-04-13,-73.45649155149174,45.741925476315664,2023-10-17,44
,60013,McAvity M59M,Rouge,2019-08-08,-73.4546971956845,45.74081919734921,2023-10-17,42
,60013,McAvity M59M,Rouge,2019-03-07,-73.45306591777073,45.74011098675639,2023-10-17,42
,60013,McAvity M59M,Rouge,2019-03-22,-73.45883124947409,45.730350457494104,2023-10-17,44
,60013,McAvity M67,Rouge,2019-03-25,-73.45825421344031,45.73182949092914,2023-10-17,44
,60013,McAvity M59M,Rouge,2019-03-22,-73.45736245153724,45.733182641003346,2023-10-17,44
,60013,McAvity M59M,Rouge,2019-12-19,-73.45562381609348,45.73220466762131,2023-10-17,36
,60013,McAvity M67,Rouge,2019-09-03,-73.45511774116994,45.73135303738684,2023-10-17,34
,60013,McAvity M59M,Rouge,2019-12-19,-73.45571184515809,45.73332010484921,2023-10-17,30
,60013,McAvity M67,Rouge,2019-03-22,-73.45581747767574,45.73490201812842,2023-10-17,30
,60013,McAvity M67,Rouge,2019-12-19,-73.45497118890881,45.73519942217218,2023-10-17,38
,60013,McAvity M67,Rouge,2019-03-22,-73.45367130941298,45.733705920719785,2023-10-17,30
,60013,McAvity M59M,Rouge,2019-12-19,-73.45327779275419,45.73444112529885,2023-10-17,38
,60013,Daigle D67,Rouge,2019-12-19,-73.45370950039711,45.73540055375218,2023-10-17,44
,60013,McAvity M59M,Rouge,2019-12-20,-73.45421467648391,45.73638584286074,2023-10-17,38
,60013,Daigle D67M,Rouge,2019-03-22,-73.4522880136899,45.73484834947506,2023-10-17,44
,60013,McAvity M67 Brigadier,Rouge,2018-04-13,-73.45122404302073,45.734567427412976,2023-10-17,34
,60013,AVK Model 27-80,Rouge,2018-04-13,-73.4545564484495,45.73024653475228,2023-10-17,28
