No structure,IDE_STRCT,Groupe,Statut,Type structure,Charg. conception,Affichage,Responsablilté de gestion,Centre de services,Role VM Inspection,Année de construction,Nom route,Nom obstacle,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,Longitude,Latitude,X,Y
81-05201D,6042061,"P.I. St-Hubert / CP, des Carrières",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1931,"Rue Saint-Hubert, côté Est",,97.18,4,2018/09/12 00:00:00,,328,-73.594698,45.53232,297403.5632,5043604.766
81-05201E,6042063,"P.I. St-Hubert / CP, des Carrières",Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1931,"Rue Saint-Hubert, côté Est",,99.75,4,2018/09/12 00:00:00,,250,-73.5932395,45.531661,297517.395,5043531.397
81-05202A,6018124,P.O. Wellington / Canal Lachine,Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1933,Rue D'Iberville,,98.69,4,2018/05/22 00:00:00,,357,-73.572909,45.540893,299106.2696,5044555.716
81-05202D,6018130,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1933,Boulevard Saint-Joseph Est,,98.27,4,2018/05/23 00:00:00,,406,-73.572842,45.541839,299111.5973,5044660.842
81-05203A,6009058,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1933,Boulevard Saint-Joseph Est,,99.35,4,2017/09/11 00:00:00,,749,-73.5741055370311,45.5405432337639,299012.7918,5044516.932
81-05203B,6009059,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1933,Boulevard Saint-Joseph Est,,99.36,4,2017/09/11 00:00:00,,767,-73.5745182934251,45.5405204513582,298980.5556,5044514.43
81-05203D,6009061,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1933,Rue D'Iberville,,99.52,4,2017/09/11 00:00:00,,408,-73.573015,45.5407865,299097.9809,5044543.889
81-05204A,6009063,"P.I. St-Laurent / CP, Sud de Bellechasse",Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1910,Boulevard Saint-Laurent,,97.12,4,2016/05/11 00:00:00,,208,-73.6042968595556,45.5281915451685,296653.2432,5043146.895
81-05204C,6009065,"P.I. St-Laurent / CP, Sud de Bellechasse",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1910,Boulevard Saint-Laurent,,99.59,4,2016/05/11 00:00:00,,97,-73.605199,45.5286045,296582.8361,5043192.879
81-05204D,6008361,"P.I. St-Laurent / CP, Sud de Bellechasse",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1910,Boulevard Saint-Laurent,,99.31,4,2016/05/11 00:00:00,,174,-73.6047483527479,45.5286327625306,296618.0405,5043195.974
81-05204E,6008383,"P.I. St-Laurent / CP, Sud de Bellechasse",Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1910,Boulevard Saint-Laurent,,98.96,4,2016/05/11 00:00:00,,192,-73.6035895,45.528065,296708.4778,5043132.761
81-05208B,6042067,T.V. St-Rémi / Canal Lachine,Actif Ville de Montréal,Mur,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1951,"Rue Saint-Rémi, côté Ouest",,99.82,4,2018/08/09 00:00:00,,324,-73.5867309884649,45.4670109769298,298017.9947,5036346.243
81-05208D,6029388,T.V. St-Rémi / Canal Lachine,Actif Ville de Montréal,Mur,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1951,Rue Saint-Rémi,,99.01,4,2018/09/17 00:00:00,,191,-73.5880775,45.468815,297912.9227,5036546.838
81-05208F,6042071,T.V. St-Rémi / Canal Lachine,Actif Ville de Montréal,Mur,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1951,"Rue Saint-Rémi, côté Est",,96.49,4,2018/08/09 00:00:00,,137,-73.5864779888628,45.4670469732708,298037.7825,5036350.222
81-05209A,6009066,"P.I. De Salaberry / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1932,Rue De Salaberry,,96.61,4,2018/11/30 00:00:00,,102,-73.693955,45.543046,289653.9235,5044810.695
81-05209B,6009067,"P.I. De Salaberry / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1932,Rue De Salaberry,,99.65,4,2017/06/27 00:00:00,,113,-73.694218,45.5431375,289633.4103,5044820.913
81-05209D,6009069,"P.I. De Salaberry / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1932,Rue De Salaberry,,96.15,4,2017/06/27 00:00:00,,205,-73.693696,45.543972,289674.3973,5044913.553
81-05209E,6009070,"P.I. De Salaberry / CP, Est de Bois-de-Boulogne",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1932,Rue De Salaberry,,99.37,4,2017/06/27 00:00:00,,187,-73.6934375,45.5438735,289694.5571,5044902.558
81-05210A,6009071,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,Rue Sauvé Ouest,,87.96,4,2017/07/18 00:00:00,,393,-73.6650585,45.5373665,291909.1728,5044174.479
81-05210B,6009072,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,Rue Sauvé Ouest,,97.6,4,2017/07/27 00:00:00,,383,-73.665369,45.5374035,291884.9316,5044178.641
81-05210G,6011660,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,"Rue Sauvé Ouest, côté Nord",,97.41,4,2017/07/27 00:00:00,,577,-73.6649675045099,45.5391629837642,291916.6896,5044374.11
81-05210H,6018082,"P.I. Sauvé / CP, entre l'Acadie et Meilleur",Actif Ville de Montréal,Mur,,,Ville de Montréal,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,1970,"Rue Sauvé Ouest, côté Sud",,95.7,4,2017/07/18 00:00:00,,572,-73.6646665047641,45.5390669804237,291940.1746,5044363.392
81-05213D,6042083,"P.I. Victoria / CP, au Sud de Jean-Talon Ouest",Actif Ville de Montréal,Mur,,,Ville de Montréal,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1960,"Avenue Victoria, côté Est",,99.89,4,2017/05/09 00:00:00,,380,-73.646636,45.498506,293340.0573,5039853.088
81-05214A,6007860,"P.I. Wellington / CN, à l'Est de la Congrégation",Actif Ville de Montréal,Mur,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1961,"Rue Wellington, côté Sud",,97.39,4,2018/03/27 00:00:00,,157,-73.5582115,45.481566,300249.2725,5037961.731
81-05214D,6008721,"P.I. Wellington / CN, à l'Est de la Congrégation",Actif Ville de Montréal,Mur,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1961,"Rue Wellington, côté Nord",,98.16,4,2018/03/28 00:00:00,,129,-73.55843,45.4821505,300232.2384,5038026.699
81-05215B,6009181,T.V. Tunnel Wellington / Canal Lachine,Actif Ville de Montréal,Mur,,,Ville de Montréal,21 - Arrondissement Le Sud-Ouest,Inspections annuelle et générale par la Ville Montréal,1932,rue Wellington,,97.14,4,2017/08/02 00:00:00,,138,-73.5578935221329,45.4915391617994,300274.9293,5039070.032
81-05220A,6009062,"P.I. Ch. Côte-St-Luc / CP, West Broadway",Actif Ville de Montréal,Mur,,,Ville Montréal - Municipalité,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1967,Chemin de la Côte-Saint-Luc,,95.83,4,2018/09/06 00:00:00,,95,-73.6563195,45.462407,292575.4655,5035842.832
81-05220B,6009246,"P.I. Ch. Côte-St-Luc / CP, West Broadway",Actif Ville de Montréal,Mur,,,Ville Montréal - Municipalité,72 - Ville Côte-Saint-Luc,Inspections annuelle et générale par la Ville Montréal,1967,Chemin de la Côte-Saint-Luc,,93.56,4,2018/09/04 00:00:00,,188,-73.6563975,45.4625965,292569.4067,5035863.902
81-05242A,6042087,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Mur,,,Ville de Montréal,22 - Arrondissement Le Plateau-Mont-Royal,Inspections annuelle et générale par la Ville Montréal,1933,"Rue D'Iberville, côté Ouest",,98.43,4,2018/05/22 00:00:00,,224,-73.5741075,45.541245,299012.7105,5044594.92
81-05242C,6042089,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1933,"Rue D'Iberville, côté Ouest",,97.47,4,2018/05/22 00:00:00,,244,-73.5753514991287,45.5417699996329,298915.6174,5044653.355
81-05242D,6042091,"P.I. St-Joseph / CP, D'Iberville",Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1933,"Rue D'Iberville, côté Est",,98.28,4,2018/05/22 00:00:00,,392,-73.5750995010998,45.5418195004718,298935.3017,5044658.837
81-05302B,6009235,"P.I. Ch. Côte-St-Luc / CP, West Broadway",Actif Ville de Montréal,Mur,,,Ville Montréal - Municipalité,72 - Ville Côte-Saint-Luc,Inspections annuelle et générale par la Ville Montréal,1967,Chemin de la Côte-Saint-Luc,,94.75,4,2018/09/04 00:00:00,,380,-73.657163,45.462149,292509.4458,5035814.289
81-05320,6042095,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1958,"Accès à l'ave du Docteur-Penfield, côté Ouest",,95.37,4,2016/04/14 00:00:00,,379,-73.5913335,45.4947375,297661.5994,5039427.892
81-05322,6042097,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1958,"Chemin McDougall, côté Ouest",,99.2,4,2016/10/12 00:00:00,,731,-73.59382397611,45.4946645060824,297466.9405,5039420.004
81-05323,6042099,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1955,avenue des Pins Ouest,,94.32,4,2018/04/05 00:00:00,,127,-73.5878341973519,45.4964321380268,297935.3022,5039615.912
81-05328E,6042101,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1930,Entre l'avenue Steyning et des Pins Ouest,,99.25,4,2017/10/16 00:00:00,,153,-73.5863244543285,45.4987009833586,298053.5674,5039867.922
81-05328M,6042121,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1930,"Avenue des Pins Ouest, côté Nord",,91.53,4,2017/10/16 00:00:00,,474,-73.5859614925015,45.4989800116395,298081.9667,5039898.9
81-05330A,6042123,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1911,"Avenue des Pins Ouest, côté Sud",,98.39,4,2017/10/16 00:00:00,,113,-73.5802325,45.507611,298530.6551,5040857.603
81-05330B,6029390,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1912,Avenue du Docteur-Penfield,,87.44,4,2017/10/16 00:00:00,,124,-73.5798878825769,45.5069460945164,298557.5099,5040783.685
81-05332,6009321,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1957,Avenue du Docteur-Penfield,,99.02,4,2018/10/04 00:00:00,,161,-73.578907982925,45.5062924902207,298634.0085,5040710.974
81-05341,6042125,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1912,"Rue Redpath-Crescent, côté Sud",,99.25,4,2018/11/19 00:00:00,,312,-73.5858340343042,45.5011534541181,298092.1859,5040140.425
81-05344,6009341,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1955,Rue Saint-Dominique,,99.71,4,2018/10/03 00:00:00,,139,-73.5672865122152,45.5125960258092,299542.715,5041410.663
81-05349,6030294,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1967,Rue Saint-Denis,,95.19,4,2018/04/05 00:00:00,,98,-73.5667335,45.5164865,299586.2827,5041842.978
81-05354,6009422,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1920,Avenue Wrexham,,93.23,4,2017/11/21 00:00:00,,115,-73.5714572821869,45.4924834289875,299214.8527,5039175.822
81-05355,6041984,,Actif Ville de Montréal,Mur,,,Ville de Montréal,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1959,"Boul. Pie IX, côté Est",,96.27,4,2017/04/27 00:00:00,,143,-73.5706095207026,45.5601479692003,299287.7269,5046695.388
81-05370A,6042131,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1912,"Avenue du Docteur-Penfield, côté Sud",,95.36,4,2018/10/04 00:00:00,,139,-73.5783584998017,45.5052694969457,298676.835,5040597.246
81-05373,6042135,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,1956,"Avenue du Docteur-Penfield, côté Nord",,93.84,4,2018/04/05 00:00:00,,143,-73.582815040499,45.5007134570571,298328.0658,5040091.281
81-05376,6028366,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,75,4,2017/06/05 00:00:00,,89,-73.632029,45.579284,294496.3923,5048828.063
81-05377,6029500,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,75,4,2017/06/05 00:00:00,,106,-73.631479,45.579645,294539.3803,5048868.111
81-05378,6029516,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,78.88,4,2017/06/05 00:00:00,,108,-73.6299055,45.5802495,294662.285,5048935.091
81-05379,6029532,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,75,4,2017/06/07 00:00:00,,100,-73.62901,45.5804705,294732.2086,5048959.538
81-05381,6029564,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,85.88,4,2017/06/07 00:00:00,,168,-73.6264975,45.5798545,294928.1732,5048890.769
81-05383,6029596,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,83.05,4,2017/06/08 00:00:00,,206,-73.624381,45.5788285,295093.1674,5048776.489
81-05385,6029628,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1985,Chemin de la carrière St-Michel,,90.37,4,2017/06/08 00:00:00,,192,-73.621961,45.577776,295281.8491,5048659.232
81-05449,6042137,,Actif Ville de Montréal,Mur,,,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,1917,"Rue Évangéline, côté Nord",,99.93,4,2018/05/02 00:00:00,,812,-73.580069,45.4645125,298538.6581,5036068.047
81-05457C,6009508,M.S. Sud de la Commune / Esplanade Faubourg Québec,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,2006,Rue de la Commune Est,,99.67,4,2016/08/10 00:00:00,,351,-73.5490270275996,45.5123472724579,300969.3631,5041381.986
81-05462B,6042160,,Actif Ville de Montréal,Mur,,,Ville de Montréal,20 - Arrondissement Ville-Marie,Inspections annuelle et générale par la Ville Montréal,2005,"Rue de la Commune Est, côté Sud",,97.37,4,2017/10/02 00:00:00,,71,-73.5485045,45.5137525,301010.2842,5041538.125
81-05490C,6035572,"Échangeur de la Pointe-Nord, Île-des-soeurs",Actif Ville de Montréal,Mur,,,Ville de Montréal,12 - Arrondissement Verdun,Inspections annuelle et générale par la Ville Montréal,2008,Sortie aut.15 Sud vers chemin de la Pointe-Nord,,97.67,4,2018/05/16 00:00:00,,56,-73.5453204907905,45.4695200324525,301256.2819,5036622.414
81-05525,6039415,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,1987,rue Richmond,,99.97,4,2018/07/16 00:00:00,,2005,-73.6424075,45.4456985,293660.1259,5033984.002
81-05527B,6039428,"P.I. Marcel-Laurin / CN, au Nord de l'aut. 40",Actif Ville de Montréal,Mur,,,Ville de Montréal,15 - Arrondissement Saint-Laurent,Inspections annuelle et générale par la Ville Montréal,1966,boulevard Marcel-Laurin,,95.42,4,2018/07/28 00:00:00,,279,-73.6711429709378,45.5033729358249,291425.9333,5040397.741
81-01509,6064781,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1999,"Côté Ouest rue Curatteau, de Lecourt à de Lavaltrie",,100,4,2018/05/14 00:00:00,,650,-73.5104849722039,45.5862441652755,303981.8487,5049593.135
81-01510,6064782,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1999,"Côté Est de la rue De Boucherville, au Sud de Pl. Curatteau",,100,4,2018/05/14 00:00:00,,505,-73.5390862028922,45.5941024607474,301750.496,5050467.135
81-01514,6064786,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1999,"Rue De Boucherville, côté Ouest de la rue Curatteau",,100,4,2018/05/14 00:00:00,,1589,-73.5286593950228,45.5917723602907,302563.9026,5050207.842
81-01515,6056247,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1999,Côté Ouest de la rue Curatteau,,100,4,2018/05/15 00:00:00,,1774,-73.5338742565233,45.5933695985894,302157.0974,5050385.505
81-01516,6064381,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1999,rue De Boucherville,,100,4,2018/05/11 00:00:00,,1504,-73.5443724207505,45.5954391011667,301338.1477,5050615.893
81-01525,6064383,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1999,Boulevard Louis-H.-La Fontaine,,100,4,2017/11/29 00:00:00,,902,-73.546526,45.596339,301170.1875,5050715.996
81-01526,6064385,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1999,Boulevard Louis-H.-La Fontaine,,100,4,2017/11/29 00:00:00,,526,-73.5502685,45.5979845,300878.3241,5050899.041
81-05178D,6009052,P.I. Ave Girouard / Boul. De Maisonneuve et CP,Actif Ville de Montréal,Mur,,,Ville Montréal - Municipalité,27 - Arrondissement Côte-des-Neiges-Notre-Dame-de-Grâce,Inspections annuelle et générale par la Ville Montréal,1931,Avenue Girouard,,100,4,2018/05/29 00:00:00,,320,-73.6094107727092,45.4712863137652,296245.176,5036823.524
81-05196A,6041951,"P.I. Du Parc / CP, entre Beaubien et Beaumont",Actif Ville de Montréal,Mur,,,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1931,Du Parc entre Beaubien et Beaumont coté Ouest,,100,4,2017/10/02 00:00:00,,215,-73.616223,45.5283005,295721.6952,5043160.283
81-05196C,6041957,"P.I. Du Parc / CP, entre Beaubien et Beaumont",Actif Ville de Montréal,Mur,,,Ville Montréal - Canadien Pacifique,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1931,Avenue du Parc entre Beaubien et Beaumont côté Ouest,,100,4,2017/10/02 00:00:00,,211,-73.6174985,45.5288615,295622.1557,5043222.772
81-05196D,6041959,"P.I. Du Parc / CP, entre Beaubien et Beaumont",Actif Ville de Montréal,Mur,,,Ville Montréal - Canadien Pacifique,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,1931,Avenue du Parc au Nord du CP,,100,4,2017/10/02 00:00:00,,166,-73.6174545,45.529089,295625.6296,5043248.05
81-05196E,6041961,"P.I. Du Parc / CP, entre Beaubien et Beaumont",Actif Ville de Montréal,Mur,,,Ville Montréal - Canadien Pacifique,25 - Arrondissement Rosemont-La Petite-Patrie,Inspections annuelle et générale par la Ville Montréal,1931,Avenue du Parc entre Beaubien et Beaumont coté Est,,100,4,2017/10/02 00:00:00,,284,-73.6162675,45.5285615,295718.2613,5043189.293
81-05262A,6008586,"P.I. Henri-Bourassa / CN, à l'Est de Albert-Hudon",Actif Ville de Montréal,Mur,,,Ville Montréal - Canadien National,16 - Arrondissement Montréal-Nord,Inspections annuelle et générale par la Ville Montréal,1997,Boulevard Henri-Bourassa Est,,100,4,2019/04/04 00:00:00,,123,-73.6044430175111,45.6121439911721,296653.9715,5052476.697
81-05262C,6009081,"P.I. Henri-Bourassa / CN, à l'Est de Albert-Hudon",Actif Ville de Montréal,Mur,,,Ville Montréal - Canadien National,16 - Arrondissement Montréal-Nord,Inspections annuelle et générale par la Ville Montréal,1997,Boulevard Henri-Bourassa Est Dir. Ouest,,100,4,2015/10/14 00:00:00,,84,-73.603131,45.612899,296756.4102,5052560.47
81-05503A,6069705,P.S. Hochelaga / Aut. 25,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,2010,Hochelaga,,100,4,2017/10/13 00:00:00,,210,-73.5261256132424,45.587850168353,302761.4543,5049771.892
81-05508G,6083911,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,24 - Arrondissement Ahuntsic-Cartierville,Inspections annuelle et générale par la Ville Montréal,2017,"Autoroute 15, côté Est",,100,4,2017/07/06 00:00:00,,2050,-73.6806588476651,45.5316634920048,290689.3823,5043543.321
81-05532A,6082732,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,2007,Bretelle sortie 58 autoroute du Souvenir,,100,4,2016/09/26 00:00:00,,601,-73.7214784300084,45.4481696966686,287475.5329,5034272.621
81-05532B,6082734,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,2007,Autoroute du Souvenir,,100,4,2016/09/26 00:00:00,,1500,-73.7076568179579,45.4479702669209,288556.6285,5034247.573
81-05532C,6082737,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,2007,Bretelle sortie 60 autoroute du Souvenir,,100,4,2016/09/20 00:00:00,,510,-73.6945125519892,45.4472318497614,289584.6032,5034162.942
81-05532D,6082741,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,2007,Bretelle d'entrée 32ème avenue autoroute du Souvenir,,100,4,2016/10/05 00:00:00,,540,-73.6913980186086,45.4472861587076,289828.2464,5034168.393
81-05532E,6082767,,Actif Ville de Montréal,Mur,,,Ville de Montréal - MTQ,17 - Arrondissement Lachine,Inspections annuelle et générale par la Ville Montréal,2007,Autoroute du Souvenir,,100,4,2016/09/20 00:00:00,,1500,-73.6750731203849,45.4470068186855,291105.1635,5034134.44
81-01502,6006460,,Actif Ville de Montréal,Mur,,,Ville de Montréal,09 - Arrondissement Anjou,Inspections annuelle et générale par la Ville Montréal,1991,avenue des Halles,,100,4,2015/08/05 00:00:00,,75,-73.5692639647644,45.5972567952022,299396.331,5050819.273
81-01503,6006620,,Actif Ville de Montréal,Mur,,,Ville de Montréal,23 - Arrondissement Mercier-Hochelaga-Maisonneuve,Inspections annuelle et générale par la Ville Montréal,1983,avenue des Halles,,100,4,2015/08/05 00:00:00,,147,-73.5688991121396,45.5969821931576,299424.769,5050788.732
81-01521,6041905,,Actif Ville de Montréal,Mur,,,Ville de Montréal,26 - Arrondissement Villeray-Saint-Michel-Parc-Extension,Inspections annuelle et générale par la Ville Montréal,2003,"Voie de service, dir. Est vers Ouest, côté Sud",,100,4,2016/09/19 00:00:00,,640,-73.6479783156256,45.5304555580984,293241.6945,5043403.858
