No_UADM,Description,Type,Service_arrondissement 
421502000002,INFRASTRUCTURES DES TECHNOLOGIES OPÉRATIONNELLES,BUR,Service
421502020000,SECTION CENTRE D OPÉRATION,SEC,Service
421503000000,DIVISION PLATEFORMES ET AUTOMATISATION,DIV,Service
421503020000,SECTION PLATEFORME,SEC,Service
421505000000,DIVISION CONNECTIVITÉ DORSALE,DIV,Service
421505030000,SECTION SERVICES TÉLÉCOMS,SEC,Service
421600000000,"DIRECTION STRATÉGIES, PRATIQUES D AFFAIRES ET PERFORMANCE",DIR,Service
421600000002,STRATÉGIES TI,BUR,Service
421600000003,GESTION DES ACTIFS TI,BUR,Service
421602000000,DIVISION STRATÉGIES ET PRATIQUES D AFFAIRES,DIV,Service
421603000000,DIVISION GESTION DES ACTIFS TI,DIV,Service
421700000000,DIRECTION INSTITUTIONNELLE,DIR,Service
421702000000,DIVISION RESSOURCES HUMAINES,DIV,Service
421702020000,SECTION OPÉRATIONS RH,SEC,Service
421703000000,DIVISION FINANCES ET APPROVISIONNEMENT,DIV,Service
421703020000,SECTION FINANCES ET APPROVISIONNEMENT,SEC,Service
421704000000,DIVISION SERVICES INSTITUTIONNELS,DIV,Service
421704020000,SECTION OPÉRATIONS INSTITUTIONNELLES,SEC,Service
421705000000,DIVISION CENTRE D EXPERTISE - LOGICIEL PATRIMONIAUX,DIV,Service
421800000000,DIRECTION ESPACES DE TRAVAIL ET SERVICES AUX UTILISATEURS,DIR,Service
421802000000,DIVISION SOLUTIONS ESPACES DE TRAVAIL,DIV,Service
421802020000,SECTION EXPLOITATION DES ESPACES DE TRAVAIL,SEC,Service
421802030000,SECTION INFORMATIQUE POUR L UTILISATEUR FINAL,SEC,Service
421803000000,DIVISION SERVICES AUX UTILISATEURS,DIV,Service
421803020000,SECTION CENTRE DE SERVICES TI,SEC,Service
421803020002,CENTRE DE SERVICES TI - AGGLO - BIOSPHÈRE,BUR,Service
421803030000,SECTION SOUTIEN AUX ARRONDISSEMENTS,SEC,Service
421803040000,SECTION SOUTIEN AUX SERVICES CENTRAUX,SEC,Service
421803040002,SOUTIEN AUX SERVICES CENTRAUX - AGGLO- BIOSPHÈRE,BUR,Service
460000000000,BUREAU INSPECTEUR GÉNÉRAL,SER,Service
460002000000,EXPERTISE ET ANALYSE,DIV,Service
460003000000,INSPECTIONS ET ENQUÊTES,DIV,Service
460004000000,OPÉRATIONS ET INVESTIGATIONS,DIV,Service
460200000000,ADMINISTRATION ET AFFAIRES JURIDIQUES,DIR,Service
460202000000,ANALYSES ET PRÉ-ENQUÊTES,DIV,Service
460203000000,DIVISION INSPECTIONS ET ENQUÊTES,DIV,Service
460203020000,SECTION INSPECTION ET ENQUETES,SEC,Service
460204000000,"DIVISION PRÉVENTION, FORMATION ET ANALYSE",DIV,Service
490000000000,SERVICE DE L EAU,SER,Service
490000000001,EXPERTISE ET SOUTIEN TECHNIQUE EAU,BUR,Service
490000000002,BUREAU DES PROJETS DE L EAU,INS,Service
490000020000,COORDINATION DES TRAVAUX ET COMMUNICATIONS,SEC,Service
490002000000,DIVISION STRATÉGIES ET PRATIQUES D AFFAIRES,DIV,Service
490002020000,"SECTION PROCESSUS, PROJETS ET PARTENARIAT",SEC,Service
490002040000,SECTION COORDINATION DES TRAVAUX,SEC,Service
490002050000,SECTION PLANIFICATION STRATÉGIQUE ET AFFAIRES CORPORATIVES,SEC,Service
490005000000,"PROCESSUS, PROJETS ET PARTENARIAT",DIV,Service
490005020000,SECTION SOUTIEN GÉNÉRAL,SEC,Service
490200000000,DIRECTION DE LA GESTION DES ACTIFS,DIR,Service
490200050000,PROJ.AM.CIDI.R.,SEC,Service
490202000000,DIV PLAN INVES,DIV,Service
490202000200,EXPERTISE EN MAINTENANCE,BUR,Service
490202020000,PLAN D INTERVENTION ET ACTIFS PONCTUELS,SEC,Service
490202030000,SECTION NORD,SEC,Service
490202040000,SECTION SUD,SEC,Service
490203000000,DIVISION DÉVELOPPEMENT URBAIN,DIV,Service
490203000200,PROJET AMÉLIORATION DU CIDI ET DES RÉSEAUX,BUR,Service
490203000300,INFRASTRUCTURES VERTES,BUR,Service
490203020000,SECTION PLANIFICATION ET GRANDS PROJETS,SEC,Service
490203030000,RÈGL.GEST.EAU,SEC,Service
490203040000,EXPERTISE HYDRAULIQUE,SEC,Service
490204000000,DIVISION DES PROJETS SPÉCIAUX,DIV,Service
490204020000,SECTION DÉPISTAGE PLOMB,SEC,Service
490204030000,SECTION INSPECTION PLOMB,SEC,Service
490300000000,DIRECTION DE L EAU POTABLE,DIR,Service
490300000400,PROJET - MISE A NIVEAU DES USINES,INS,Service
490300000500,PROJET - OPTIMISATION DU RÉSEAU,INS,Service
490300000600,PROJET - AUTOMATISATION,INS,Service
490300020000,SECTION AUTOMATISATION,SEC,Service
490300030000,SECTION FORMATION,SEC,Service
490300060000,SOUTIEN À L EXPLOITATION,SEC,Service
490300070000,APPROVISIONNEMENT ET IMMEUBLES,SEC,Service
490302000000,PROJETS MAJEURS,DIV,Service
490302040000,PROJETS RÉSEAU PRINCIPAL,SEC,Service
490302040300,USINE DE PIERREFONDS-ROXBORO/STE-ANNE-DE-BELLEVUE,INS,Service
490302050000,SECTION PROJET - MNU,SEC,Service
490302060000,SECTION OPTIMISATION DU RÉSEAU,SEC,Service
490302070000,SECTION - PROJETS - REQUPS,SEC,Service
490304000000,DIVISION DE L EXPLOITATION DES USINES,DIV,Service
490304000400,USINE PIERREFONS ET STE-ANNE-DE-BELLEVUE,SEC,Service
490304000500,USINE POINTE-CLAIRE ET DORVAL,SEC,Service
490304000600,SECTION USINE POINTE-CLAIRE,SEC,Service
490304000700,USINET DORVAL,SEC,Service
490304020000,USINE ATWATER,DIV,Service
490304030000,USINE DES BAILLETS,DIV,Service
490304040000,SECTION USINE PIERREFONDS,SEC,Service
490304060000,SECTION USINE POINTE-CLAIRE,SEC,Service
490304070000,RÉSERVOIRS,SEC,Service
490304080000,"PLANIFICATION ENTRETIEN,INGÉNIERIE, SOUTIEN À L EXPLOITATION",SEC,Service
490305000000,EXPLOITATION DU RÉSEAU ET DES RÉSERVOIRS,DIV,Service
490310000000,INFRASTRUCTURES USINES ET RÉSERVOIRS,DIV,Service
490310020000,SECTION PLAN D ALIMENTATION ET RÉSERVOIRS,SEC,Service
490310030000,SECTION PROJETS ET DIAGNOSTIC - CONDUITES PRINCIPALES,SEC,Service
490310040000,GESTION D ACTIFS ET PROJETS,SEC,Service
490310060000,INGÉNIERIE DU RÉSEAU ET DES RÉSERVOIRS,SEC,Service
490310070000,BUREAU PROJETS USINES ET RÉSERVOIRS,SEC,Service
490310080000,BUREAU PROJET MCTAVISH,SEC,Service
490311000000,DIVISION INFRA RÉSEAU PRINCIPAL,DIV,Service
490311020000,SECTION PROJETS ET ENTRETIEN,SEC,Service
490311030000,SECTION PROJETS DE CONSTRUCTION,SEC,Service
490311040000,EXPLOITATION RÉSEAU,SEC,Service
490312000000,"DIVISION COORDINATION, PLANIFICATION ET LOGISTIQUE",DIV,Service
490312020000,FORMATION,SEC,Service
490312030000,FORMATION/MAGASIN,SEC,Service
490500000000,DIRECTION DES RÉSEAUX D EAU,DIR,Service
490500020000,SECTION FINANCES - ARRONDISSEMENTS,SEC,Service
490500040000,COORDINATION DES TRAVAUX,SEC,Service
490500050000,OPTIMISATION DES ACTIVITÉS D ENTRETIEN (MAXIM EAU),BUR,Service
490502000000,DIVISION INFRASTRUCTURES RÉSEAU PRINCIPAL,DIV,Service
490502020000,SECTION PROJETS ET ENTRETIEN,SEC,Service
490502030000,PROJ.CONSTRUCT.,SEC,Service
490502040000,SECTION EXPLOITATION RÉSEAU,SEC,Service
490503000000,DIV. GEST. STRATÉGIQUE DES RÉSEAUX D EAU - UNITÉ SUD,DIV,Service
490505000000,DIV. GEST. STRATÉGIQUE DES RÉSEAUX D EAU - UNITÉ EST,DIV,Service
490506000000,DIV.GEST.STRATÉGIQUE DES RÉSEAUX D EAU-UNITÉ PLAN DIRECTEUR,DIV,Service
490507000000,RÉHABILITATION ET AUSCULTATION DES RÉSEAUX,DIV,Service
490508000000,DIVISION GESTION DURABLE DE L EAU,DIV,Service
490508020000,MESURE DE LA CONSOMMATION D EAU,SEC,Service
490508030000,RÈGLEMENTATION DE LA GESTION DE L EAU,BUR,Service
490508040000,SECTION OPTIMISATION DES RÉSEAUX,SEC,Service
490508050000,SECTION INSPECTION PLOMB,SEC,Service
490508060000,SECTION CONCEPTION RÉALISATION -COLLECTEURS,SEC,Service
490509000000,DIVISION OPTIMISATION DU RÉSEAU,DIV,Service
490510000000,DIVISION PLANIFICATION DES INVESTISSEMENTS,DIV,Service
490510020000,SECTION NORD,SEC,Service
490510030000,SECTION SUD,SEC,Service
490510040000,SECTION PLAN DIRECTEUR,SEC,Service
490511000000,DIVISION EXPERTISE D ENTRETIEN,DIV,Service
490511020000,SECTION PLANIFICATION,SEC,Service
490511030000,SECTION INTERVENTION,SEC,Service
490511040000,SECTION FORMATION,SEC,Service
490511050000,SECTION DÉPISTAGE PLOMB,SEC,Service
490700000000,DIRECTION DE L ÉPURATION DES EAUX USÉES,DIR,Service
490700020000,AUTOMATISATION,SEC,Service
490702000000,DIVISION DES OPÉRATIONS,DIV,Service
490703000000,DIVISION ENTRETIEN,DIV,Service
490704000000,DIVISION INGÉNIERIE ET PROCÉDÉS,DIV,Service
490704020000,SECTION INGÉNIERIE D USINE,SEC,Service
490704030000,SECTION INGÉNIERIE DE PROCÉDÉS ET LABORATOIRES,SEC,Service
490705000000,DIVISION ADMINISTRATION ET SOUTIEN À L EXPLOITATION,DIV,Service
490706000000,DÉSINFECTION,DIV,Service
490707000000,DIVISION DES COLLECTEURS ET BASSINS DE RÉTENTION,DIV,Service
490708000000,DIVISION ÉTUDES ET PLAN DIRECTEUR,DIV,Service
490800000000,DIRECTION DES PROJETS MAJEURS,DIR,Service
490800000200,EXPERTISE GESTION DE PROJETS,BUR,Service
490800020000,COORD.TRAV.COMM.,SEC,Service
490802020000,SECTION - PROJET MCTAVISH,SEC,Service
490802030000,SECTION - PROJET BASSONS ET OUVRAGES DE RÉTENTION,SEC,Service
490802040000,SECTION - PROJET DÉSINFECTION,SEC,Service
490802050000,SECTION - PROJET INCINÉRATEURS,SEC,Service
490803000000,DIVISION CONCEPTION/CONSTRUCTION,DIV,Service
490803000200,PROJET DÉSINFECTION,BUR,Service
490803010000,RESSOURCES HUMAINES,SEC,Service
490803020000,RESSOURCES HUMAINES DEEU,SEC,Service
490803030000,RESSOURCES HUMAINES DEP,SEC,Service
490803040000,SOUTIEN GÉNÉRAL,SEC,Service
490900000000,DIRECTION DES STRATÉGIES ET DE LA PERFORMANCE,DIR,Service
490902000000,DIVISION PLANIFICATION STRATÉGIQUE ET PERFORMANCE,DIV,Service
490902020000,PLAN.STR.AF.COR,SEC,Service
490902030000,"VEILLE, RECHERCHE ET DÉVELOPPEMENT",SEC,Service
490903000000,APPROVISIONNEMENT,DIV,Service
490903000200,MAGASIN ET APPROVISIONNEMENT,BUR,Service
490903020000,LOGISTIQUE ET GESTION DES CONTRATS,SEC,Service
490903030000,"VEILLE, RECHERCHE ET DÉVELOPPEMENT",SEC,Service
510000000000,RIVIÈRE-DES-PRAIRIES - POINTE-AUX-TREMBLES,ARR,Arrondissement
510000020000,BUREAU DE PROJETS,SEC,Arrondissement
510002000000,DIVISION DES RELATIONS AVEC LES CITOYENS ET COMMUNICATIONS,DIV,Arrondissement
510002020000,SECTION ACCUEIL ET INFORMATIONS,SEC,Arrondissement
510100000000,DIRECTION - R.D.P. / P.A.T.,DIR,Arrondissement
510200000000,DIRECTION DES SERVICES ADMINISTRATIFS ET DU GREFFE,DIR,Arrondissement
510202000000,DIVISION DES RESSOURCES HUMAINES,DIV,Arrondissement
510203000000,DIVISION DES RESSOURCES FINANCIÈRES ET MATÉRIELLES,DIV,Arrondissement
510204000000,DIVISION DU GREFFE,DIV,Arrondissement
510400000000,BUREAU D ARRONDISSEMENT,DIR,Arrondissement
510401000000,SECRETARIAT D ARRONDISSEMENT ET CONSULTATIONS PUBLIQUES,DIV,Arrondissement
510402000000,RELATIONS AVEC LES CITOYENS ET COMMUNICATIONS,DIV,Arrondissement
510500000000,DIRECTION DES TRAVAUX PUBLICS,DIR,Arrondissement
510502000000,DIVISION DE LA VOIRIE,DIV,Arrondissement
510502020000,SECTION TRAVAUX ET DÉNEIGEMENT,SEC,Arrondissement
510503000000,DIVISION DE L HORTICULTURE ET DES PARCS,DIV,Arrondissement
510503020000,SECTION ENTRETIEN PARCS ET ESPACES VERTS,SEC,Arrondissement
510600000000,DIRECTION CULTURE/SPORTS/LOISIRS ET DU DÉVELOPPEMENT SOCIAL,DIR,Arrondissement
510602000000,DIVISION DE LA CULTURE ET DES LOISIRS,DIV,Arrondissement
510602030000,SECTION LOISIRS ET COMMUNAUTÉ,SEC,Arrondissement
510603000000,"DIVISION SPORT, RÉGIE ET BIBLIOTHÈQUES",DIV,Arrondissement
510603020000,SPORTS ET RÉGIE,SEC,Arrondissement
510603030000,LOISIRS ET COMMUNAUTÉ,SEC,Arrondissement
510603040000,SECTION BIBLIOTHÈQUES,SEC,Arrondissement
510603050000,SECTION BIBLIOTHÈQUE RDP,SEC,Arrondissement
510604000000,"DIV DÉV. SOCIAL,EXPERTISE,SOUTIEN ADM. ETPROJETS DIVERS",DIV,Arrondissement
510700000000,DIR. DU DÉVELOPPEMENT DU TERRITOIRE ET ÉTUDES TECHNIQUES,DIR,Arrondissement
510703000000,"DIV. DE L URBANISME, DES PERMIS ET L INSPECTION",DIV,Arrondissement
510703020000,SECTION DES PERMIS ET INSPECTIONS,SEC,Arrondissement
510704000000,DIVISION INGÉNIERIE ET MOBILITÉ,SEC,Arrondissement
510705000000,"DIVISION PARCS, FORESTERIE ET TRANSITION ÉCOLOGIQUE",DIV,Arrondissement
510800000000,BUREAU ADMINISTRATIF DES ÉLUS,DIR,Arrondissement
520000000000,VILLE-MARIE,ARR,Arrondissement
520000000002,SOUTIEN AUX ÉLUS,BUR,Arrondissement
520002000000,DIVISION DES RESSOURCES HUMAINES,DIV,Arrondissement
520002010000,EMPLOYÉS EN RÉAFFECTATION,SEC,Arrondissement
520003000000,DIVISION DES COMMUNICATIONS ET DES REL. AVEC LES CITOYENS,DIV,Arrondissement
520003010000,"SECTION ACCUEIL, INFORMATION ET SERVICE À LA CLIENTÈLE",SEC,Arrondissement
520004000000,SOUTIEN ÉLUS,DIV,Arrondissement
520006000000,DIV DES COMMUNICATIONS ET DES RELATIONS AVEC LA COMMUNAUTÉ,DIV,Arrondissement
520006020000,"SECTION DE L ACCUEIL,L INFORMATION ET SERVICE À LA CLIENTÈLE",SEC,Arrondissement
520200000000,DIRECTION DES SERVICES ADMINISTRATIFS,DIR,Arrondissement
520200000002,SOUT ÉLUS,BUR,Arrondissement
520202000000,DIVISION DES RESSOURCES HUMAINES,DIV,Arrondissement
520202020000,EMPLOYÉS EN RÉAFFECTATION,SEC,Arrondissement
520203000000,DIVISION DES RESSOURCES FINANCIERES ET MATERIELLES,DIV,Arrondissement
520204000000,DIVISION DES COMMUNICATIONS ET RELATIONS AVEC LA COMMUNAUTÉ,DIV,Arrondissement
520204020000,SECTION DE L ACCUEIL ET INFORMATION,SEC,Arrondissement
520205000000,SOUTIEN AUX ÉLUS,BUR,Arrondissement
520207000000,DIVISION DU GREFFE,DIV,Arrondissement
520208000000,DIVISION DE LA GESTION IMMOBILIÈRE ET RESSOURCES MATÉRIELLES,DIV,Arrondissement
520500000000,DIRECTION DES TRAVAUX PUBLICS,DIR,Arrondissement
520500020000,SECTION DU SOUTIEN ADMINISTRATIF (TP),SEC,Arrondissement
520502000000,DIVISION DE LA VOIRIE,DIV,Arrondissement
520502020000,SECTION TRAVAUX,SEC,Arrondissement
520502030000,SECTION ENTRETIEN DES BÂTIMENTS ET GRAFFITIS,SEC,Arrondissement
520502040000,SECTION PROPRETÉ,SEC,Arrondissement
520503000000,DIVISION DES PARCS ET DE L HORTICULTURE,DIV,Arrondissement
520506000000,DIVISION DE L INSPECTION ET DE L ENTRETIEN,DIV,Arrondissement
520507000000,DIVISION BUREAU DE PROJETS DU CENTRE-VILLE,DIV,Arrondissement
520508000000,DIVISION DE L AMÉNAGEMENT DES PARCS ET ACTIFS IMMOBILIERS,DIV,Arrondissement
520600000000,"DIRECTION CULTURE, SPORTS, LOISIRS ET DÉVELOPPEMENT SOCIAL",DIR,Arrondissement
520602000000,DIVISION DE LA CULTURE ET DES BIBLIOTHEQUES,DIV,Arrondissement
520602020000,SECTION BIBLIOTHEQUE PERE-AMBROISE,SEC,Arrondissement
520602030000,SECTION CENTRE SANAAQ,SEC,Arrondissement
520602040000,SECTION BIBLIOTHEQUE FRONTENAC,SEC,Arrondissement
520603000000,"DIVISION DES SPORTS, LOISIRS ET DU DEVELOPPEMENT SOCIAL",DIV,Arrondissement
520603020000,"LOISIRS, PROGRAMMES ET EXPERTISE",SEC,Arrondissement
520603030000,"SPORTS, INSTALLATIONS ET REGIE",SEC,Arrondissement
520700000000,DIRECTION DE L AMÉNAGEMENT URBAIN ET DE LA MOBILITÉ,DIR,Arrondissement
520702000000,DIVISION D URBANISME,DIV,Arrondissement
520703000000,DIVISION DES PERMIS ET DES INSPECTIONS,DIV,Arrondissement
520703020000,SECTION INSPECTION DES BÂTIMENTS,SEC,Arrondissement
520704000000,DÉVELOPPEMENT ÉCONOMIQUE,DIV,Arrondissement
520705000000,DIVISION DE LA MOBILITÉ ET DE LA PLANIFICATION,DIV,Arrondissement
520705020000,MOBILITÉ,SEC,Arrondissement
530000000000,SUD-OUEST,ARR,Arrondissement
530000010000,SUD-OUEST - CONSEIL ET SOUTIEN AUX INSTANCES,SEC,Arrondissement
530000020000,SECTION - COMMUNICATIONS,SEC,Arrondissement
530001000000,DIVISION DES COMMUNICATIONS,DIV,Arrondissement
530001010000,SECTION ACCUEIL ET INFORMATIONS B.A.M.,SEC,Arrondissement
530002000000,DIVISION DU BUREAU DES PROJETS,DIV,Arrondissement
530002020000,SEC-TRANSITION ÉCOLOGIQUE ET PLANIFICATION DE L ENTRETIEN,SEC,Arrondissement
530200000000,DIRECTION DES SERVICES ADMINISTRATIFS,DIR,Arrondissement
530200030000,SECTION DES COMMUNICATIONS,SEC,Arrondissement
530201000000,DIVISION DU GREFFE,DIV,Arrondissement
530202000000,DIVISION DU GREFFE,DIV,Arrondissement
530203000000,DIVISION DES RESSOURCES HUMAINES,DIV,Arrondissement
530204000000,DIVISION DES RESSOURCES FINANCIÈRES ET MATÉRIELLES,DIV,Arrondissement
530500000000,DIRECTION DES TRAVAUX PUBLICS,DIR,Arrondissement
530500020000,SECTION ACCUEIL ET INFORMATION BAM,SEC,Arrondissement
530502000000,DIVISION DE LA VOIRIE,DIV,Arrondissement
530502020000,SECTION AQUEDUC ET ÉGOÛTS,SEC,Arrondissement
530502030000,SECTION - OPÉRATIONS TRAV PUBLICS,SEC,Arrondissement
530503000000,DIVISION DES PARCS ET HORTICULTURE,DIV,Arrondissement
530504000000,DIVISION BUREAU DE PROJETS,DIV,Arrondissement
530504010000,SECTION CIRCULATION,SEC,Arrondissement
530504020000,SECTION TRANSITION ÉCOLOGIQUE ET PLAIFICATION DE L ENTRETIEN,SEC,Arrondissement
530600000000,"DIRECTION CULTURE, SPORTS, LOISIRS ET DÉVELOPPEMENT SOCIAL",DIR,Arrondissement
530602000000,DIVISION DE LA CULTURE ET DES BIBLIOTHEQUES,DIV,Arrondissement
530602000100,BIBLIOTHEQUE GEORGES-VANIER,INS,Arrondissement
530602000200,BIBLIOTHEQUE MARIE-UGUAY,INS,Arrondissement
530602000300,BIBLIOTHQUE SAINT-HENRI,INS,Arrondissement
530602000400,BIBLIOTHEQUE ST-CHARLES,INS,Arrondissement
530602000500,MAISON DE LA CULTURE MARIE-UGUAY,INS,Arrondissement
530602020000,SECTION BIBLIOTHÈQUES MARIE-UGUAY ST-HENRI,SEC,Arrondissement
530602030000,SECTION BIBLIOTHÈQUES REJEAN - DUCHARME - ST CHARLES,SEC,Arrondissement
530603000000,"DIVISION - SPORTS, LOISIRS ET DEVELOPPEMENT SOCIAL",DIV,Arrondissement
530603020000,SECTION - SPORTS ET INSTALLATIONS,SEC,Arrondissement
530603030000,SECTION - LOISIRS ET VIE COMMUNAUTAIRE,SEC,Arrondissement
530700000000,DIRECTION DE L AMÉNAGEMENT URBAIN ET DU PATRIMOINE,DIR,Arrondissement
530702000000,DIVISION DE L URBANISME,DIV,Arrondissement
530703000000,DIVISION DES PERMIS ET INSPECTIONS,DIV,Arrondissement
530704000000,DIVISION DE LA MOBILITÉ ET PLANIFICATION DES DÉPLACEMENTS,DIV,Arrondissement
530800000000,BUREAU DES ÉLUS DU SUD-OUEST,BUR,Arrondissement
540000000000,PLATEAU-MONT-ROYAL,ARR,Arrondissement
540000000001,SOUTIEN AUX ÉLUS,INS,Arrondissement
540200000000,DIRECTION DES SERVICES ADMINISTRATIFS,DIR,Arrondissement
540201000000,DIVISION RELATION AVEC LES CITOYENS ET COMMUNICATIONS,DIV,Arrondissement
540202000000,DIVISION DES RESSOURCES HUMAINES,DIV,Arrondissement
540203000000,DIVISION DES RESSOURCES FINANCIÈRES ET MATÉRIELLES,DIV,Arrondissement
540204000000,DIV.DES RELATIONS AVEC LES CITOYENS ET DES COMMUNICATIONS,DIV,Arrondissement
540500000000,TRAVAUX PUBLICS,DIR,Arrondissement
540502000000,DIVISION VOIRIE-PROPRETÉ ET DÉNEIGEMENT,DIV,Arrondissement
540502020000,SECTION PROPRETÉ ET HYGIÈNE DU MILIEU,SEC,Arrondissement
540502030000,SECTION TRAVAUX,SEC,Arrondissement
540503000000,DIVISION DES PARCS ET DE L HORTICULTURE,DIV,Arrondissement
540503020000,SECTION PARCS,SEC,Arrondissement
540600000000,"DIRECTION CULTURE, SPORTS, LOISIRS ET DÉV. SOCIAL",DIR,Arrondissement
540600020000,DÉVELOPPEMENT SOCIAL ET EXPERTISE,SEC,Arrondissement
540602000000,CULTURE ET DES BILIOTHEQUES,DIV,Arrondissement
540602020000,SECTION BIBLIOTHÈQUES,SEC,Arrondissement
540603000000,"SPORTS, INSTALLATIONS ET PLEIN AIR",DIV,Arrondissement
540603030000,SECTION PISCINES ET OPÉRATIONS,SEC,Arrondissement
540604000000,DIVISION- DÉVELOPPEMENT SOCIAL ET ÉVÉNEMENTS,DIV,Arrondissement
540605000000,DIVISION DES PARCS ET DE L HORTICULTURE,DIV,Arrondissement
540605020000,SECTION PARCS,SEC,Arrondissement
540700000000,DIR DU DÉVELOPPEMENT DU TERRITOIRE ET DES ÉTUDES TECHNIQUES,DIR,Arrondissement
540702000000,"DIV.DE L URBANISME,DU PATRIMOINE ET DES SERV.AUX ENTREPRISES",DIV,Arrondissement
540703000000,DIVISION DES PERMIS ET INSPECTIONS,DIV,Arrondissement
540703020000,SECTION INSPECTION,SEC,Arrondissement
540705000000,DIVISION ÉTUDES TECHNIQUES,DIV,Arrondissement
540705020000,SECTION CIRCULATION ET STATIONNEMENT,SEC,Arrondissement
540706000000,DIRECTION DES TRAVAUX PUBLICS,DIR,Arrondissement
540709000000,DIVISION DE L AMÉNAGEMENT ÉCOLOGIQUE DU PAYSAGE,DIV,Arrondissement
550000000000,MERCIER - HOCHELAGA-MAISONNEUVE,ARR,Arrondissement
550000020000,SECTION - TRANSITION ÉCOLOGIQUE,SEC,Arrondissement
550002000000,DIVISION DES RESSOURCES HUMAINES,DIV,Arrondissement
550003000000,DIVISION DES COMMUNICATIONS,DIV,Arrondissement
550004000000,"DIVISION RESSOURCES FINANCIÈRE, MATÉRIELLES ET INFORMATION",DIV,Arrondissement
550005000000,DIVISION DU GREFFE,DIV,Arrondissement
550006000000,DIV SERVICES TECHNIQUES ET SOUTIEN LOGISTIQUE AUX INSTALLAT.,DIV,Arrondissement
550202000000,DIVISION DES RESSOURCES HUMAINES,DIV,Arrondissement
550203000000,DIVISION DES RESSOURCES FINANCIERES ET MATERIELLES,DIV,Arrondissement
550204000000,DIVISION DES RELATIONS AVEC LES CITOYENS ET DU GREFFE,DIV,Arrondissement
550400000000,BUREAU DE PROJETS DÉVELOPPEMENT SERVICES AUX CITOYENS,DIR,Arrondissement
550402000000,BUREAU EXPERTISE TECHNIQUE,DIV,Arrondissement
550403000000,SERVICE TECHNIQUE SOUTIEN LOGISTIQUE AUX INSTALLATIONS,DIV,Arrondissement
550404000000,BUREAU DE L AMÉNAGEMENT DES PARCS ET ACTIFS IMMOBILIERS,DIV,Arrondissement
550404020000,"SEC DE L ACCUEIL, DE L INFORMATION ET SERVICE À LA CLIENTÈLE",SEC,Arrondissement
550500000000,DIRECTION DES TRAVAUX PUBLICS,DIR,Arrondissement
550502000000,DIVISION DE LA VOIRIE,DIV,Arrondissement
550503000000,DIVISION DES PARCS ET DE L HORTICULTURE,DIV,Arrondissement
550504000000,DIVISION DES ETUDES TECHNIQUES,DIV,Arrondissement
550504010000,DÉVELOPPEMENT DURABLE ET CIRCULATION,SEC,Arrondissement
550600000000,"DIRECTION CULTURE, SPORTS, LOISIRS ET DÉVELOPPEMENT SOCIAL",DIR,Arrondissement
550602000000,DIVISION DE LA CULTURE ET DES BIBLIOTHEQUES,DIV,Arrondissement
550603000000,"DIVISION DES SPORTS, DES LOISIRS ET DU PLEIN AIR URBAIN",DIV,Arrondissement
550604000000,DIVISION DU DÉVELOPPEMENT SOCIAL ET DES ÉVÉNEMENTS PUBLICS,DIV,Arrondissement
550605000000,DIV. DES SERVICES TECHNIQUES ET SOUTIEN LOGISTIQUES AUX INST,DIV,Arrondissement
550700000000,DIRECTION AMÉNAGEMENT URBAIN ET SERVICES AUX ENTREPRISES,DIR,Arrondissement
550702000000,DIVISION DE L URBANISME,DIV,Arrondissement
550703000000,DIVISION DES PERMIS ET INSPECTIONS,DIV,Arrondissement
550703020000,SECTION INSPECTIONS,SEC,Arrondissement
550800000000,SOUTIEN AUX ELUS,INS,Arrondissement
560000000000,AHUNTSIC-CARTIERVILLE,ARR,Arrondissement
560002000000,DIVISION RELATIONS AVEC LES CITOYENS ET COMMUNICATION,DIV,Arrondissement
560002020000,SECTION ACCUEIL ET INFORMATION BAM,SEC,Arrondissement
560200000000,"DIR.PERFORMANCE, GREFFE ET SERVICES ADMINISTRATIFS",DIR,Arrondissement
560200000001,SOUTIEN AUX ÉLUS,INS,Arrondissement
560202000000,DIVISION RESSOURCES HUMAINES,DIV,Arrondissement
560203000000,DIVISION DE LA GESTION IMMOBILIÈRE,DIV,Arrondissement
560204000000,RESSOURCES FINANCIÈRES ET GESTION IMMOBILIÈRE,SEC,Arrondissement
560205000000,"DIVISION GREFFE,PERFORMANCE ET INFORMATIQUE",DIV,Arrondissement
560500000000,DIRECTION DES TRAVAUX PUBLICS,DIR,Arrondissement
560508000000,DIVISION DE LA VOIRIE,DIV,Arrondissement
560508010000,SECTION DU MATÉRIEL ROULANT,SEC,Arrondissement
560509000000,DIVISION DES PARCS,DIV,Arrondissement
560600000000,"DIR. DE LA CULTURE, SPORTS, LOISIRS DÉVELOPPEMENT SOCIAL",DIR,Arrondissement
560602000000,DIVISION DE LA CULTURE ET DES BIBLIOTHÈQUES,DIV,Arrondissement
560602010000,SECTION BIBLIOTHÈQUES SALABERRY/CARTIERVILLE,SEC,Arrondissement
560602020000,SECTION BIBLIOTHÈQUES AHUNTSIC,SEC,Arrondissement
560603000000,DIVISION LOISIRS. PARTENARIAT.EXPERTISE,DIV,Arrondissement
560604000000,DIVISION DES SPORTS ET LOISIRS,DIV,Arrondissement
560604020000,SECTION INSTALLATIONS,SEC,Arrondissement
